n_params,GPU-PSO,GPU-CMAES,GPU-DE
2,1.116919086935588,2.2909657786013624,1.1440299003183185
3,0.7350407623071008,1.7918053403872924,0.385620344468947
5,0.9511742927649112,1.0219206924932827,0.7793623151240585
8,1.4980537874595534,0.6839845549867649,1.2524917969241103
10,0.9473020681727868,0.4984559657438474,2.1626068032857666
20,1.4924250005924453,1.386148907078605,5.680688170615411
40,2.6585483970343358,1.335308236172709,9.5306763572156
80,1.6514269471407523,1.9224647041975038,2.876317046150723
120,2.210130921018922,4.098980759297601,9.55209177808515
160,6.215281044431545,1.6270578513492135,3.645834263154236
210,5.544033745421915,2.917367649648539,7.030030021194054
