n_params,GPU-PSO,GPU-CMAES,GPU-DE
2,1.1004858835058007,2.2909657786013624,1.1437718613155932
3,0.4074250121606408,1.7915623612977003,0.385620344468947
5,0.5504134563920726,1.0219206924932827,0.4781074752697021
8,0.401588673918108,0.4475315056045346,1.2524917969241103
10,0.4856484524658772,0.4984559657438474,0.6621034581094897
20,0.7345910791989069,0.6824942346439091,2.6390785970010318
40,0.5998774375928081,0.7228701106580006,3.1957814481695466
80,1.6514269471407523,1.9224647041975036,2.876317046150723
120,1.3241936449178833,4.098980759297601,3.592898638912557
160,2.927684384472422,1.6270578513492135,3.645834263154236
210,0.877676700889442,0.8809026860632025,1.2434735537814172
