n_params,GPU-PSO,GPU-CMAES,GPU-DE
2,1.101778874067726,2.2909657786013624,1.1439703183837655
3,0.4954638394235818,1.7917492487825384,0.385620344468947
5,0.838370547962218,1.0219206924932827,0.4781074752697021
8,0.6943661648260226,0.4475315056045346,1.2524917969241103
10,0.7936407549838385,0.4984559657438474,0.8544580583759911
20,0.8874434950334305,0.9057618471217874,5.3122257583115156
40,1.0257633980146859,0.879874396249187,3.212634721698485
80,1.6514269471407523,1.9224647041975036,2.876317046150723
120,1.3271060176660139,4.098980759297601,3.636151056278026
160,2.968292422991133,1.6270578513492135,3.645834263154236
210,4.628178437099771,1.416256395279053,1.250257236892257
