n_params,budget,winner,best_loss,winner_is_approx,winner_fill,winner_confidence,all_methods
80,750,GPU-CMAES,1.9224647041975038,False,observed,1.0,3
80,1000,GPU-PSO,1.6514269471407523,False,observed,1.0,3
80,1500,GPU-PSO,1.6514269471407523,False,observed,1.0,3
80,2000,GPU-PSO,1.6514269471407523,False,observed,1.0,3
80,3000,GPU-PSO,1.6514269471407523,True,approx_hold_final,0.6,3
80,5000,GPU-PSO,1.6514269471407523,True,approx_hold_final,0.6,3
80,7500,GPU-PSO,1.6514269471407523,True,approx_hold_final,0.6,3
80,10000,GPU-PSO,1.6514269471407523,True,approx_hold_final,0.6,3
80,15000,GPU-PSO,1.6514269471407523,True,approx_hold_final,0.6,3
120,100,GPU-CMAES,5.953009460819898,False,observed,1.0,3
120,250,GPU-CMAES,4.098980759297601,False,observed,1.0,3
120,500,GPU-CMAES,4.098980759297601,False,observed,1.0,3
120,750,GPU-CMAES,4.098980759297601,False,observed,1.0,3
120,1000,GPU-CMAES,4.098980759297601,False,observed,1.0,3
120,1500,GPU-PSO,2.210130921018922,False,observed,1.0,3
120,2000,GPU-PSO,2.210130921018922,False,observed,1.0,3
120,3000,GPU-PSO,1.3770148559722795,False,observed,1.0,3
120,5000,GPU-PSO,1.3271060176660139,True,approx_hold_final,0.6,3
120,7500,GPU-PSO,1.3263738938828062,True,approx_hold_final,0.6,3
120,10000,GPU-PSO,1.3256444637647464,True,approx_hold_final,0.6,3
120,15000,GPU-PSO,1.3241936449178833,True,approx_hold_final,0.6,3
160,100,GPU-CMAES,6.240499804685236,False,observed,1.0,3
160,250,GPU-CMAES,5.225931313503434,False,observed,1.0,3
160,500,GPU-CMAES,1.6270578513492135,False,observed,1.0,3
160,750,GPU-CMAES,1.6270578513492135,False,observed,1.0,3
160,1000,GPU-CMAES,1.6270578513492135,False,observed,1.0,3
160,1500,GPU-CMAES,1.6270578513492135,False,observed,1.0,3
160,2000,GPU-CMAES,1.6270578513492135,False,observed,1.0,3
160,3000,GPU-CMAES,1.6270578513492135,True,approx_hold_final,0.6,3
160,5000,GPU-CMAES,1.6270578513492135,True,approx_hold_final,0.6,3
160,7500,GPU-CMAES,1.6270578513492135,True,approx_hold_final,0.6,3
160,10000,GPU-CMAES,1.6270578513492135,True,approx_hold_final,0.6,3
160,15000,GPU-CMAES,1.6270578513492135,True,approx_hold_final,0.6,3
210,100,GPU-CMAES,6.420336545824033,False,observed,1.0,3
210,250,GPU-CMAES,6.420336545824033,False,observed,1.0,3
210,500,GPU-CMAES,6.420336545824033,False,observed,1.0,3
210,750,GPU-CMAES,4.938493039555644,False,observed,1.0,3
210,1000,GPU-CMAES,3.985247304253736,False,observed,1.0,3
210,1500,GPU-CMAES,3.349259776871965,False,observed,1.0,3
210,2000,GPU-CMAES,2.917367649648539,False,observed,1.0,3
210,3000,GPU-DE,1.250257236892257,False,observed,1.0,3
210,5000,GPU-DE,1.250257236892257,False,observed,1.0,3
210,7500,GPU-PSO,0.9176501522824836,True,approx_soft_extend,0.45,3
210,10000,GPU-PSO,0.9041273714025351,True,approx_soft_extend,0.45,3
210,15000,GPU-PSO,0.877676700889442,True,approx_soft_extend,0.45,3
