method,n_params,seed,is_approx_run,auc_normalized,final_loss,total_evals
GPU-CMAES,2,42,False,2.314977774657245,2.2909657786013624,610
GPU-DE,2,42,False,1.3864836293315788,1.1440481762578483,1080
GPU-PSO,2,42,False,1.4389105129178605,1.1020490961403087,2920
GPU-CMAES,3,42,False,1.8330005950552837,1.7918068363236868,1920
GPU-DE,3,42,False,6.700119468079945,0.771240688937894,525
GPU-PSO,3,42,False,2.7670937641050535,0.8148500243212816,1216
GPU-CMAES,5,42,False,1.1567216953483002,1.0219206924932827,1625
GPU-DE,5,42,False,2.357421686159971,0.9562149505394042,775
GPU-PSO,5,42,False,1.658767187657928,0.9942677665453595,947
GPU-CMAES,8,42,False,1.593907336749954,0.8950630112090692,960
GPU-DE,8,42,False,3.8432144186987514,1.2524917969241103,2840
GPU-PSO,8,42,False,2.660342404659911,0.803177347836216,2440
GPU-CMAES,10,42,False,3.74104364995018,0.9969119314876947,450
GPU-DE,10,42,False,3.1172709726271837,0.8555483822460414,4950
GPU-PSO,10,42,False,2.4647453991878665,0.9712969049317544,1576
GPU-CMAES,20,42,False,1.68494434965834,0.9707965115181848,2550
GPU-DE,20,42,False,4.93327125831328,2.6430060471699828,12800
GPU-PSO,20,42,False,4.450437219688979,0.913570993843279,3465
GPU-CMAES,40,42,False,1.5365215861834207,0.9106652241804088,3250
GPU-DE,40,42,False,8.402713077543051,3.212634721698485,5350
GPU-PSO,40,42,False,3.0496837566318993,0.9771275011893209,5359
GPU-CMAES,80,42,False,2.14099323243334,1.9224647041975038,2650
GPU-DE,80,42,False,7.588056168916632,2.876317046150723,3450
GPU-PSO,80,42,False,3.243926583392334,1.6514269471407523,2453
GPU-CMAES,120,42,False,4.168225806792567,4.098980759297601,2650
GPU-DE,120,42,False,7.9935830688224065,3.636151056278026,5900
GPU-PSO,120,42,False,3.582028070898592,1.3271984568455761,4685
GPU-CMAES,160,42,False,1.9676278842155492,1.6270578513492135,2800
GPU-DE,160,42,False,9.615801444017842,3.645834263154236,3550
GPU-PSO,160,42,False,6.372589086009609,2.9698581226489162,4633
GPU-CMAES,210,42,False,2.0962458728783364,0.9191028337085517,9600
GPU-DE,210,42,False,8.804833882487962,1.250257236892257,5200
GPU-PSO,210,42,False,7.5465325050719985,0.9227266008500312,6571
