Params,GD,NM,PSO
2,2.6748466257668713,1.0,2.8834355828220857
3,2.7522935779816513,1.0,3.63302752293578
5,1.2185185185185186,1.0,1.7462962962962962
8,1.0,1.0648351648351648,3.0714285714285716
10,1.0,1.685672514619883,5.071637426900585
20,1.0,1.779090909090909,3.9954545454545456
40,1.0,1.886080586080586,1.0945054945054946
80,1.2410616363237552,2.602544417635446,1.0
160,6.628348757915246,3.8580126643935704,1.0
210,38.416898276820454,5.8507504168982765,1.0
