Params,GD,NM,PSO
2,2.8684210526315788,1.0,1.631578947368421
3,2.4489795918367347,1.0,1.2857142857142858
5,2.41025641025641,3.230769230769231,1.0
8,1.2133333333333334,2.986666666666667,1.0
10,1.0,4.614035087719298,1.280701754385965
20,1.0,8.68,1.9
40,1.0483870967741935,19.14516129032258,1.0
80,1.0,40.08695652173913,1.434782608695652
160,1.9090909090909092,40.45454545454545,1.0
210,8.578947368421053,65.78947368421052,1.0
