Params,GD,NM,PSO
2,1.131542894339794,1.0025066482315956,1.0
3,1.1125990063227094,1.0,1.017654383922616
5,1.1612435653785105,1.0540777554085898,1.0
8,1.1212544242363656,1.464200281342159,1.0
10,1.5248333999094954,1.1779735591911218,1.0
20,1.298352233868274,1.0,1.1574300574173333
40,4.163009455671767,4.004616956226165,1.0
80,3.060642565331789,2.887695872127774,1.0
160,1.0,2.4820676786143463,1.2485748388507976
210,1.0,4.318337151403851,2.485367481398739
