iteration,loss,n_evals_per_iter,cumulative_evals,param_displacement_norm,gradient_spread,iteration_classification,spearman_correlation_vs_iter1
39,0.7520913320100749,211,8267,0.0090250974616487,25170.431644493703,progress,0.8972895400932317
40,0.749814384876435,211,8479,0.029009125397803,30774.637981710664,progress,0.4989701742507928
41,0.8076908088031035,211,8691,0.0250077192677853,34806.90892655098,plateau,0.5943361203525833
42,0.7635245135863518,211,8903,0.0114448865447878,31084.5867761186,progress,0.719358715617134
43,0.7636886866736016,211,9115,0.0035413089058622,27442.843283057187,plateau,0.8899294768588857
44,0.751924420663956,211,9327,0.0115094186831075,51691.76645436851,progress,0.7617412769320976
45,0.7611312147538595,211,9539,0.0129795362769803,30919.12267933565,plateau,0.7258272782343623
46,0.7411484528887712,211,9751,0.0109193697854397,23766.18999037728,progress,0.8523620555049839
47,0.7363693303415514,211,9963,0.0144052477106328,23283.040441547077,progress,0.741380594960041
48,0.7648114425046227,211,10175,0.0087431974107817,50768.39075994235,plateau,0.8489450684012919
49,0.7401828156551141,211,10387,0.0047180206898119,21881.305640753737,progress,0.834270294434924
50,0.741022213403464,211,10599,0.0240719417796379,48387.96696617821,plateau,0.4949636046168847
51,0.7520324071384323,211,10811,0.024021503423999,31690.81284288645,plateau,0.9329897341371524
52,0.7382152552555371,211,11023,0.0042802626971187,11278.596217081094,progress,0.8462692707641571
53,0.7372197802682958,211,11235,0.0164991409128306,19406.18852064731,plateau,0.5615980926033307
54,0.7323746846767084,211,11447,0.0202358524321933,44676.08202212534,progress,0.7516134152701875
55,0.7505989094397214,211,11659,0.0073051159045852,51084.00978884377,plateau,0.7097776755546772
56,0.7451034611649198,211,11871,0.0145157437632474,32435.66739003811,progress,0.8642418195423932
57,0.726845061987456,211,12083,0.0056672816079403,17616.592791963467,progress,0.8662282591441981
58,0.7432714515062919,211,12295,0.005150267581705,26723.88192995782,plateau,0.6694541178452378
59,0.7344149287422154,211,12507,0.0086840020626586,20995.09322504698,progress,0.8464817796321911
60,0.7345639148654124,211,12719,0.0103507715100357,53898.93496370409,plateau,0.6870586634617565
61,0.7649628447996111,211,12931,0.0112111121602289,17292.424084076512,plateau,0.9441075761355132
62,0.7523680598278704,211,13143,0.0058260376777497,19674.602837434988,progress,0.7532085275662227
63,0.7513988772581647,211,13355,0.024561131344049,52104.49928830353,plateau,0.6567204309783506
64,0.7362335648813357,211,13567,0.0251327890003601,15859.19661272892,progress,0.7801245898028137
65,0.7373296578993016,211,13779,0.007896189402451,22412.070721630826,plateau,0.8899437305024733
66,0.7331713161442258,211,13991,0.0101089217202865,35123.636905116364,progress,0.7267952302125412
67,0.7256148355874202,211,14203,0.0145651088364724,25734.23374882943,progress,0.7784478430025948
68,0.7558886771867419,211,14415,0.0149558906356463,32788.56128233044,plateau,0.9553368557110138
69,0.7276876261738422,211,14627,0.0070942767628455,31831.182910903644,progress,0.9092936995655878
70,0.7250537617988518,211,14839,0.007690117164412,12121.5304822911,progress,0.7211443084229315
71,0.7293708650119456,211,15051,0.004906604492948,22235.42517402532,plateau,0.7909029359266325
72,0.7257830520702913,211,15263,0.023337600464286,93739.13978064936,progress,0.6638602106299787
73,0.7581278615820969,211,15475,0.0225079203026822,41509.15476266719,plateau,0.8895886851985629
74,0.7450670944210074,211,15687,0.0123213914194042,36496.63141663006,progress,0.5491676196091261
75,0.7163724450400131,211,15899,0.0309495034109712,499721.1084504473,progress,0.1785093928271778
76,0.7450291274641152,211,16111,0.0333969240460554,31130.435453321512,plateau,0.826328423385046
77,0.7218470764749929,211,16323,0.0167916643245914,17897.20348808412,progress,0.5807990463016653
78,0.7316208179908301,211,16535,0.0110851748750325,18572.11761494022,plateau,0.8606589718587723
79,0.7271051785152404,211,16747,0.0027091032662002,16151.252378814906,progress,0.8737826902456485
80,0.7245416204049259,211,16959,0.0101623974029981,26912.901983043463,progress,0.7100135085667637
81,0.7243443841891535,211,17171,0.0113076346121147,9873.149043226997,plateau,0.8635822645800196
82,0.7205498645153622,211,17383,0.0038794291394372,15913.40255818658,progress,0.7988810889783701
83,0.7218678842973387,211,17595,0.0081612139191727,42227.055484682845,plateau,0.8304619800254621
84,0.73944619853942,211,17807,0.0050797667160625,53862.58976125615,plateau,0.6552704466897532
85,0.7235971637295593,211,18019,0.0092636594459045,27309.18824306372,progress,0.7957180758876943
86,0.713006781260347,211,18231,0.0097663394619263,24918.18490179865,progress,0.7354368255839944
87,0.7299214005876127,211,18443,0.0085845910884322,13303.67100282552,plateau,0.9629586676730604
88,0.7676392708627524,211,18655,0.0223421557848845,166986.1836592565,plateau,0.4943908673018176
89,0.7257650465442257,211,18867,0.0232328879244436,45427.05116249986,progress,0.7749155309644209
90,0.7239077944591902,211,19079,0.0119792218902303,61552.8654057598,progress,0.7878565435562191
91,0.7151750315416252,211,19291,0.0093081719431954,58587.87554264624,progress,0.8617565024150208
92,0.717302228115601,211,19503,0.0073955628589325,15654.066653521924,plateau,0.8141052761157525
93,0.7084585134688381,211,19715,0.010278609368779,45849.62226352582,progress,0.7911530225823067
94,0.7167216554381123,211,19927,0.0122439645799612,27025.733877045444,plateau,0.7121373014613225
95,0.7021726707765586,211,20139,0.0323566058924569,65574.83147395437,progress,0.464773091712478
96,0.7324925583112655,211,20351,0.0314922107856169,38428.31749672373,plateau,0.6418474017875365
97,0.7111228786354795,211,20563,0.025483181501197,125098.37774206349,progress,0.5638825629346956
98,0.7093687649410537,211,20775,0.0236359669533212,5474.844910035843,progress,0.9080963935042258
99,0.7111651492130348,211,20987,0.0044474106097776,8896.721860175941,plateau,0.9405752640973394
100,0.7200927069053848,211,21199,0.0138656117844126,75309.66810081624,plateau,0.5198038180328027
101,0.7390076046682889,211,21411,0.0146192717734916,11827.794013915907,plateau,0.7620989138075692
102,0.7327374456016945,211,21623,0.0100437372156267,29083.927247371987,progress,0.7632003317211599
103,0.6947340455028864,211,21835,0.0115719640038008,27030.80312719927,progress,0.8727771604798295
104,0.7019796980455235,211,22047,0.0035610913193831,21414.059188584448,plateau,0.738843446401441
105,0.6912865586287705,211,22259,0.0044632844415594,24058.458003507763,progress,0.8897428837064656
106,0.71946687235496,211,22471,0.0081382200364136,39711.56716158464,plateau,0.7254074436414172
107,0.6977844644736476,211,22683,0.0122023489388645,31286.400786954426,progress,0.6100682555159981
108,0.7036398521697022,211,22895,0.0151570964586221,29458.92545012924,plateau,0.7720505486033049
109,0.7178388434100021,211,23107,0.0074254379774255,43627.225206971525,plateau,0.6563550193881947
110,0.6934645264202794,211,23319,0.0074497340625678,45217.24355540254,progress,0.8772281846365158
111,0.7096697769750876,211,23531,0.0099198152053247,22713.61563907095,plateau,0.5951628316806666
112,0.7060068342186597,211,23743,0.014289319743594,45170.8347931122,progress,0.7992983319997538
113,0.6956867826848271,211,23955,0.0093107983317132,31591.50439948952,progress,0.8112480684693206
114,0.6836025011173539,211,24167,0.0105091655120698,47299.4815919316,progress,0.7354925443725644
115,0.6965800324130754,211,24379,0.0099752331609564,21205.01572157253,plateau,0.726168069894685
116,0.7065132471543568,211,24591,0.005794969058069,37085.8608261713,plateau,0.8080980132364517
117,0.7023892555571604,211,24803,0.0078702747927741,37130.80074016268,progress,0.8086150317629489
118,0.6918835121302784,211,25015,0.0114324227155612,54933.591788119134,progress,0.7912670517310078
119,0.6946036514097231,211,25227,0.0101491088239365,15563.761915644393,plateau,0.7569740810449216
120,0.6936736741004585,211,25439,0.0059560802487915,13670.343532462426,plateau,0.8255405856303836
121,0.6819007638736664,211,25651,0.0052167500586717,21254.5652331576,progress,0.799433093720946
122,0.6782090822393754,211,25863,0.0079343727779303,25925.603713885164,progress,0.8778592323117143
123,0.7276568399072304,211,26075,0.0084286599965403,32828.86680028906,plateau,0.7642551013466453
124,0.6927727676175095,211,26287,0.0106365290863864,28760.17565209549,progress,0.9530588643085524
125,0.6980672774953691,211,26499,0.018056957181823,22701.22959245924,plateau,0.5960802480133985
126,0.6969974217515882,211,26711,0.0182952368385589,29816.18128358468,progress,0.6739815933629852
127,0.6916134575590291,211,26923,0.040504803608065,84876.68299472528,progress,0.5129231955373138
128,0.7005014570965648,211,27135,0.0391464795292575,27754.42919099574,plateau,0.7352061757150308
129,0.6839750976090521,211,27347,0.0064805535014702,20204.668220407493,progress,0.9039796820789584
130,0.6961280272516089,211,27559,0.0036241829796015,12002.75233556086,plateau,0.8095609553828561
131,0.6930511675953458,211,27771,0.0039605457678251,19309.312702004063,progress,0.8262973245263093
