N,final_loss,n_iters,cum_sensitivity_pct,source
2,0.8969651818068083,109.0,19.64268889357628,gd_selected_params_converged_table.csv
3,0.8811611830250468,120.0,24.3430115084124,gd_selected_params_converged_table.csv
5,0.939786309189892,94.0,31.603537381610202,gd_selected_params_converged_table.csv
7,,,38.266539390654565,(no 7P summary / table entry)
10,1.0344787340105606,57.0,45.415755245163595,gd_selected_params_converged_table.csv
20,0.8163134939795739,50.0,64.19859094676349,20P/gd_summary_20params.csv
40,2.2902627085286213,65.0,82.70457524164301,40P/gd_summary_40params.csv
