rank,nX_index,avg_abs_gradient,share_of_total,cumulative_share,relative_to_rank1,base_Kij
73,196,0.2714499991394313,0.0016992870737529253,0.9309846061368438,0.012694800752963776,0.04436095
74,123,0.2610109659343949,0.0016339383382803407,0.932618544475124,0.012206602384897325,0.03532695
75,96,0.2597603114027487,0.001626109194474504,0.9342446536695985,0.012148113491398067,0.02220839
76,113,0.2502974530871533,0.001566871350055919,0.9358115250196545,0.01170556752989189,0.02644726
77,124,0.2459722017946912,0.0015397951163653133,0.9373513201360197,0.011503290117704089,0.02970693
78,48,0.2456937049592976,0.001538051715834955,0.9388893718518547,0.011490265760191246,-0.03519272
79,49,0.2353824940490163,0.0014735031526736744,0.9403628750045284,0.011008045209656005,-0.04464245
80,66,0.232280493991741,0.0014540845171355649,0.941816959521664,0.01086297513123407,-0.008900606
81,97,0.223697451435318,0.0014003543520376119,0.9432173138737016,0.01046157518482246,0.01126167
82,65,0.2232130082147508,0.0013973217194891245,0.9446146355931907,0.010438919409612581,-0.004913695
83,62,0.2160136660303835,0.0013522535700980628,0.9459668891632887,0.010102230461840639,0.05205483
84,93,0.2144169432634914,0.0013422580262898158,0.9473091471895786,0.01002755712440215,-0.01726457
85,11,0.2130460621851866,0.0013336762598377952,0.9486428234494164,0.009963445640886734,-0.0142143
86,140,0.2042352748477926,0.0012785204039546308,0.949921343853371,0.009551394839341141,0.08505719
87,27,0.1997521772186849,0.001250456046335672,0.9511717998997067,0.00934173548646572,0.1481189
88,157,0.1966423753086094,0.0012309885709093445,0.952402788470616,0.009196300541707012,-0.001612079
89,192,0.1870028101084845,0.001170644534832347,0.9535734330054484,0.008745490595312677,0.08035622
90,59,0.1861020524224709,0.0011650057582721,0.9547384387637204,0.008703365196945041,0.05217331
91,24,0.1730874076541526,0.0010835335987790006,0.9558219723624994,0.008094714164606897,0.1483283
92,12,0.1684283769603236,0.001054367893642361,0.9568763402561418,0.00787682701578535,-0.01973526
93,105,0.1678426205772655,0.0010507010369348478,0.9579270412930766,0.007849433165734611,-0.01628327
94,71,0.1658475681148394,0.0010382119344422805,0.9589652532275189,0.007756131292157517,0.01170497
95,8,0.1631967976003009,0.0010216180125961916,0.9599868712401151,0.0076321636972760286,0.05224411
96,30,0.1624964552194939,0.001017233843288107,0.9610041050834032,0.0075994110466538626,0.03249727
97,90,0.1578004948078151,0.0009878369567464997,0.9619919420401497,0.007379796819506833,-0.0120099
98,81,0.1575110108053353,0.0009860247761422202,0.9629779668162919,0.007366258629253371,-0.02182466
99,31,0.1559981180774413,0.000976554011490773,0.9639545208277827,0.007295505739947385,0.02932582
100,78,0.1489836603137039,0.0009326432454377501,0.9648871640732204,0.006967463212840996,0.018979
101,5,0.1454407943681793,0.0009104647730695223,0.96579762884629,0.00680177532403834,0.0749724
102,94,0.1437117854035985,0.0008996411127518594,0.9666972699590418,0.006720915407386923,0.03351675
103,186,0.1430367739991576,0.0008954155162963845,0.9675926854753382,0.00668934740107813,-0.006915762
104,137,0.1414217390701346,0.0008853053376732541,0.9684779908130114,0.006613817665590849,0.1682604
105,145,0.1401638927860928,0.0008774311732303856,0.9693554219862418,0.006554992438092636,0.03415468
106,99,0.1371695119548382,0.0008586862380431476,0.970214108224285,0.0064149553478300364,0.02470757
107,152,0.1326581215245232,0.000830444766438098,0.9710445529907231,0.006203972836084811,0.1235365
108,91,0.1313130694702231,0.0008220246906353976,0.9718665776813585,0.006141069288890715,-0.01554046
109,121,0.1283443996533711,0.000803440707352989,0.9726700183887115,0.00600223461603844,0.04186044
110,43,0.127642618931605,0.0007990475339770938,0.9734690659226886,0.005969414699061702,0.02272108
111,46,0.1212873696486918,0.0007592634374909309,0.9742283293601794,0.005672201128835982,-0.0277494
112,126,0.1212062360268454,0.0007587555380056208,0.9749870848981851,0.0056684067830375965,0.03427709
