collection,path,method,n_params,seed,loss,iterations,evaluations,time_seconds,stop_reason
seed42_table,seed42_table/5P/NM/result.json,NM,5,42,2.3636838482437814,93,603,14309.039195299149,stagnation
seed42_table,seed42_table/5P/PSO/result.json,PSO,5,42,1.0346702370477172,61,1490,35835.301624298096,stagnation
seed42_table,seed42_table/80P/GD/result.json,GD,80,42,0.9901854962221188,10,820,19213.597422361374,loss_threshold
seed42_table,seed42_table/80P/GPU-CMAES/result.json,GPU-CMAES,80,42,1.9224647041975038,52,2650,15971.616656780243,stagnation
seed42_table,seed42_table/80P/GPU-DE/result.json,GPU-DE,80,42,2.876317046150723,68,3450,20028.60726594925,stagnation
seed42_table,seed42_table/80P/GPU-PSO/result.json,GPU-PSO,80,42,1.6514269471407523,73,2453,13980.296878576279,stagnation
seed42_table,seed42_table/80P/NM/result.json,NM,80,42,7.754081872951901,50,281,6600.983409404755,stagnation
seed42_table,seed42_table/80P/PSO/result.json,PSO,80,42,7.6511098175089645,56,2795,63472.01363325119,stagnation
seed42_table,seed42_table/8P/GD/result.json,GD,8,42,0.9900632106965406,52,520,12284.956162452698,loss_threshold
seed42_table,seed42_table/8P/GPU-CMAES/result.json,GPU-CMAES,8,42,0.8950630112090692,23,960,4079.5138025283813,loss_threshold
seed42_table,seed42_table/8P/GPU-DE/result.json,GPU-DE,8,42,1.2524917969241103,70,2840,7431.823109149933,stagnation
seed42_table,seed42_table/8P/GPU-PSO/result.json,GPU-PSO,8,42,0.803177347836216,96,2440,11405.086947202682,loss_threshold
seed42_table,seed42_table/8P/NM/result.json,NM,8,42,0.8827184201675042,105,429,10075.346014738083,loss_threshold
seed42_table,seed42_table/8P/PSO/result.json,PSO,8,42,1.7355393865127877,60,2381,56970.211374521255,stagnation
gpu_seeds,gpu_seeds/10P/GPU-CMAES/seed42/result.json,GPU-CMAES,10,42,0.9969119314876947,8,450,2012.607177734375,loss_threshold
gpu_seeds,gpu_seeds/10P/GPU-CMAES/seed43/result.json,GPU-CMAES,10,43,0.9932041903434609,30,1550,6833.831430912018,loss_threshold
gpu_seeds,gpu_seeds/10P/GPU-CMAES/seed44/result.json,GPU-CMAES,10,44,0.9211498945298731,19,1000,4357.286437034607,loss_threshold
gpu_seeds,gpu_seeds/10P/GPU-DE/seed42/result.json,GPU-DE,10,42,0.8555483822460414,98,4950,23492.957795143127,loss_threshold
gpu_seeds,gpu_seeds/10P/GPU-DE/seed43/result.json,GPU-DE,10,43,0.8239035351117772,84,4250,20158.384691476822,loss_threshold
gpu_seeds,gpu_seeds/10P/GPU-DE/seed44/result.json,GPU-DE,10,44,0.93620240952944,125,6300,35889.95766425133,loss_threshold
gpu_seeds,gpu_seeds/10P/GPU-PSO/seed42/result.json,GPU-PSO,10,42,0.9712969049317544,48,1576,7100.749603509903,loss_threshold
gpu_seeds,gpu_seeds/10P/GPU-PSO/seed43/result.json,GPU-PSO,10,43,1.1855473857414003,296,6153,29451.117527484894,stagnation
gpu_seeds,gpu_seeds/10P/GPU-PSO/seed44/result.json,GPU-PSO,10,44,0.9813022315037715,120,3785,16700.737463712692,loss_threshold
gpu_seeds,gpu_seeds/120P/GPU-CMAES/seed42/result.json,GPU-CMAES,120,42,4.098980759297601,52,2650,13694.41874408722,stagnation
gpu_seeds,gpu_seeds/120P/GPU-CMAES/seed43/result.json,GPU-CMAES,120,43,2.0048186950096905,124,6250,37146.541182518005,stagnation
gpu_seeds,gpu_seeds/120P/GPU-CMAES/seed44/result.json,GPU-CMAES,120,44,1.1568448172558417,182,9150,54469.964074373245,stagnation
gpu_seeds,gpu_seeds/120P/GPU-DE/seed42/result.json,GPU-DE,120,42,3.636151056278026,117,5900,35298.512731313705,stagnation
gpu_seeds,gpu_seeds/120P/GPU-DE/seed43/result.json,GPU-DE,120,43,0.9196958017397652,31,1600,10056.925910711288,loss_threshold
gpu_seeds,gpu_seeds/120P/GPU-PSO/seed42/result.json,GPU-PSO,120,42,1.3271984568455761,168,4685,27356.466116905212,stagnation
gpu_seeds,gpu_seeds/120P/GPU-PSO/seed43/result.json,GPU-PSO,120,43,0.9891318393228242,67,2175,12378.679385185242,loss_threshold
gpu_seeds,gpu_seeds/120P/GPU-PSO/seed44/result.json,GPU-PSO,120,44,0.9811121757700985,51,1868,11554.028648138046,loss_threshold
gpu_seeds,gpu_seeds/160P/GPU-CMAES/seed42/result.json,GPU-CMAES,160,42,1.6270578513492135,55,2800,13220.686472892761,stagnation
gpu_seeds,gpu_seeds/160P/GPU-DE/seed42/result.json,GPU-DE,160,42,3.645834263154236,70,3550,19911.79535508156,stagnation
gpu_seeds,gpu_seeds/160P/GPU-PSO/seed42/result.json,GPU-PSO,160,42,2.9698581226489162,146,4633,29594.893159866333,stagnation
gpu_seeds,gpu_seeds/20P/GPU-CMAES/seed42/result.json,GPU-CMAES,20,42,0.9707965115181848,50,2550,11026.892901182175,loss_threshold
gpu_seeds,gpu_seeds/20P/GPU-CMAES/seed43/result.json,GPU-CMAES,20,43,0.9057854305498652,36,1850,8412.390938043594,loss_threshold
gpu_seeds,gpu_seeds/20P/GPU-CMAES/seed44/result.json,GPU-CMAES,20,44,0.6550464351958076,24,1250,5705.381606578827,loss_threshold
gpu_seeds,gpu_seeds/20P/GPU-DE/seed42/result.json,GPU-DE,20,42,2.6430060471699828,255,12800,62921.59223818779,stagnation
gpu_seeds,gpu_seeds/20P/GPU-DE/seed43/result.json,GPU-DE,20,43,3.9466711594516957,109,5500,30026.18595314026,stagnation
gpu_seeds,gpu_seeds/20P/GPU-DE/seed44/result.json,GPU-DE,20,44,5.553601646433264,74,3750,20589.979388237,stagnation
gpu_seeds,gpu_seeds/20P/GPU-PSO/seed42/result.json,GPU-PSO,20,42,0.913570993843279,97,3465,16394.45687031746,loss_threshold
gpu_seeds,gpu_seeds/20P/GPU-PSO/seed43/result.json,GPU-PSO,20,43,1.2023187815109544,198,4658,22299.444549798965,stagnation
gpu_seeds,gpu_seeds/20P/GPU-PSO/seed44/result.json,GPU-PSO,20,44,2.3319991571461824,238,6991,32429.87998843193,stagnation
gpu_seeds,gpu_seeds/210P/GPU-CMAES/seed42/result.json,GPU-CMAES,210,42,0.9191028337085517,191,9600,60536.904344558716,loss_threshold
gpu_seeds,gpu_seeds/210P/GPU-DE/seed42/result.json,GPU-DE,210,42,1.250257236892257,103,5200,26656.377045869827,stagnation
gpu_seeds,gpu_seeds/210P/GPU-PSO/seed42/result.json,GPU-PSO,210,42,0.9227266008500312,236,6571,36016.97320365906,loss_threshold
gpu_seeds,gpu_seeds/2P/GPU-CMAES/seed42/result.json,GPU-CMAES,2,42,2.2909657786013624,60,610,3263.810451745987,stagnation
gpu_seeds,gpu_seeds/2P/GPU-CMAES/seed43/result.json,GPU-CMAES,2,43,2.2944649612387398,92,930,4666.837900400162,stagnation
gpu_seeds,gpu_seeds/2P/GPU-CMAES/seed44/result.json,GPU-CMAES,2,44,2.29550659935762,73,740,3854.327484846115,stagnation
gpu_seeds,gpu_seeds/2P/GPU-DE/seed42/result.json,GPU-DE,2,42,1.1440481762578483,107,1080,5653.513517141342,stagnation
gpu_seeds,gpu_seeds/2P/GPU-DE/seed43/result.json,GPU-DE,2,43,1.9163121294798875,136,1370,6604.890933513641,stagnation
