n_params,budget,winner,best_loss,winner_is_approx,winner_fill,winner_confidence,all_methods
80,2000,GPU-PSO,0.6712381577547217,False,observed,1.0,3
80,3000,GPU-PSO,0.6147299208746012,False,observed,1.0,3
80,5000,GPU-PSO,0.5547050534712358,True,approx_hold_final,0.7,3
80,7500,GPU-PSO,0.554312396770909,True,approx_hold_final,0.7,3
80,10000,GPU-PSO,0.5539215931928627,True,approx_hold_final,0.7,3
80,15000,GPU-CMAES,0.49925748715373175,True,approx_hold_final,0.6,3
120,100,GPU-CMAES,5.469186522439438,False,observed,1.0,3
120,250,GPU-CMAES,2.4974871297710415,False,observed,1.0,3
120,500,GPU-CMAES,1.8595291151899842,False,observed,1.0,3
120,750,GPU-CMAES,1.7597589132447178,False,observed,1.0,3
120,1000,GPU-CMAES,1.7597589132447178,False,observed,1.0,3
120,1500,GPU-CMAES,1.5620464059486054,False,observed,1.0,3
120,2000,GPU-CMAES,1.5620464059486054,False,observed,1.0,3
120,3000,GPU-PSO,1.0224431987403713,False,observed,1.0,3
120,5000,GPU-PSO,0.8376827016971757,False,observed,1.0,3
120,7500,GPU-CMAES,0.7978576538914758,False,observed,1.0,3
120,10000,GPU-CMAES,0.7960649198098078,True,approx_hold_final,0.6,3
120,15000,GPU-CMAES,0.7923394416059599,True,approx_hold_final,0.6,3
160,100,GPU-CMAES,7.9716278578867765,False,observed,1.0,3
160,250,GPU-CMAES,2.1565783216739254,False,observed,1.0,3
160,500,GPU-CMAES,2.0111289744648384,False,observed,1.0,3
160,750,GPU-CMAES,2.0111289744648384,False,observed,1.0,3
160,1000,GPU-CMAES,1.1719148989250825,False,observed,1.0,3
160,1500,GPU-CMAES,1.1719148989250825,False,observed,1.0,3
160,2000,GPU-CMAES,1.1719148989250825,False,observed,1.0,3
160,3000,GPU-DE,0.9619051625421089,False,observed,1.0,3
160,5000,GPU-DE,0.9619051625421088,True,approx_hold_final,0.6,3
160,7500,GPU-DE,0.9619051625421088,True,approx_hold_final,0.6,3
160,10000,GPU-DE,0.9619051625421088,True,approx_hold_final,0.6,3
160,15000,GPU-DE,0.9619051625421088,True,approx_hold_final,0.6,3
210,100,GPU-CMAES,16.088932294293,False,observed,1.0,3
210,250,GPU-CMAES,9.04997687055604,False,observed,1.0,3
210,500,GPU-CMAES,2.946568865669251,False,observed,1.0,3
210,750,GPU-CMAES,2.946568865669251,False,observed,1.0,3
210,1000,GPU-CMAES,1.604244830919884,False,observed,1.0,3
210,1500,GPU-CMAES,1.604244830919884,False,observed,1.0,3
210,2000,GPU-CMAES,1.604244830919884,False,observed,1.0,3
210,3000,GPU-PSO,1.02475792903976,False,observed,1.0,3
210,5000,GPU-PSO,0.8547626985936503,True,approx_hold_final,0.6,3
210,7500,GPU-PSO,0.8530577637481198,True,approx_hold_final,0.6,3
210,10000,GPU-PSO,0.8513755303120896,True,approx_hold_final,0.6,3
210,15000,GPU-PSO,0.8480779626054871,True,approx_hold_final,0.6,3
