seed,method,n_params,budget,best_loss,fill_kind,is_approx,confidence,run_total_evals,run_final_loss,stop_reason,approx_run,case
2,GPU-PSO,210,1000,13.252404464857053,observed,False,1.0,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,210P_seed2
2,GPU-PSO,210,2000,3.038263567358153,observed,False,1.0,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,210P_seed2
2,GPU-PSO,210,5000,0.8547626985936503,approx_hold_final,True,0.6,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,210P_seed2
42,GPU-CMAES,2,1000,0.7874470826456859,approx_hold_final,True,0.7,350,0.7878708808109129,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0006 < 0.1,False,2P_203_200
42,GPU-CMAES,2,2000,0.78679805111458,approx_hold_final,True,0.7,350,0.7878708808109129,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0006 < 0.1,False,2P_203_200
42,GPU-CMAES,2,5000,0.7848723410759559,approx_hold_final,True,0.7,350,0.7878708808109129,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0006 < 0.1,False,2P_203_200
42,GPU-CMAES,3,1000,0.8701699916830758,approx_hold_final,True,0.7,195,0.870169991683076,Stop A (normal convergence): rel_imp flat 12 iters (≥10) AND contraction_ratio=0.0950 < 0.1,False,3P_203_200_194
42,GPU-CMAES,3,2000,0.8701699916830758,approx_hold_final,True,0.7,195,0.870169991683076,Stop A (normal convergence): rel_imp flat 12 iters (≥10) AND contraction_ratio=0.0950 < 0.1,False,3P_203_200_194
42,GPU-CMAES,3,5000,0.8701699916830758,approx_hold_final,True,0.7,195,0.870169991683076,Stop A (normal convergence): rel_imp flat 12 iters (≥10) AND contraction_ratio=0.0950 < 0.1,False,3P_203_200_194
42,GPU-CMAES,5,1000,0.76188185574164,observed,False,1.0,1125,0.76188185574164,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0207 < 0.1,False,5P_203_150_200_194_181
