n_params,GPU-PSO,GPU-CMAES,GPU-DE
2,0.7903757635872397,0.7878708808109129,0.7917562097220884
3,0.7898343760425908,0.870169991683076,0.7713872676299357
5,0.7557482700808255,0.76188185574164,0.7916600681094708
8,0.7911256578708042,0.714339829263516,0.9035607489435078
10,1.085981280062359,0.6932708897318026,1.4952044519608307
20,0.6678626461166989,0.7058910231209556,0.9618566722162843
40,1.1839185882673502,0.9987808329303917,0.5947245244234539
80,0.6712381577547217,0.9618163951032268,6.769332898641888
120,3.5215018041069466,1.5620464059486054,7.838346790727349
160,2.619711012820314,1.1719148989250825,1.3053832071461249
210,3.038263567358153,1.604244830919884,9.170666182491578
