n_params,GPU-PSO,GPU-CMAES,GPU-DE
2,0.7902973479597092,0.78679805111458,0.7908304903232312
3,0.7897131124483641,0.8701699916830758,0.7708811324941757
5,0.7554615748255724,0.7613931471072939,0.7916600681094708
8,0.7911256578708042,0.714339829263516,0.9035607489435078
10,1.085981280062359,0.6932708897318026,1.4952044519608307
20,0.6678626461166989,0.7058910231209556,0.9618566722162843
40,1.1839185882673502,0.9987808329303917,0.5947245244234539
80,0.6712381577547217,0.9618163951032268,6.769332898641888
120,3.5215018041069466,1.5620464059486054,7.838346790727349
160,2.619711012820314,1.1719148989250825,1.3053832071461249
210,3.038263567358153,1.604244830919884,9.170666182491578
