n_params,GPU-PSO,GPU-CMAES,GPU-DE
2,0.7898279421746625,0.7848723410759559,0.7890704927604051
3,0.7892835924940584,0.8701699916830758,0.7693454602206741
5,0.7542813173533134,0.7597333858255753,0.7881093288543626
8,0.7460431229439112,0.6909903665921695,0.6968691473675874
10,0.8285319457764035,0.6574325037792862,1.4952044519608307
20,0.6675545446668447,0.6634748933169895,0.8421358287766363
40,0.5104240625691305,0.7486023874178538,0.3860358660428696
80,0.5547050534712358,0.6431043053045071,1.1657257699768875
120,0.8376827016971757,0.9204080799129662,3.6752320121259707
160,1.3769187842524997,1.1719148989250825,0.9619051625421088
210,0.8547626985936503,1.5420893636199833,1.205173236457573
