method,n_params,case,seed,is_approx_run,final_loss,total_evals,time_s,n_iterations,converged,stop_reason,source_json
GPU-PSO,80,80P_seed2,2,False,0.6405364747813745,6377,35556.420634269714,224,True,Stop A (normal convergence): rel_imp flat 22 iters (≥10) AND contraction_ratio=0.0893 < 0.1,GPU-pso/results/sweep_gpu7_w16_seed2_random/80P_seed2/gpu_pso_iterations_80params.json
GPU-CMAES,120,120P_seed2,2,False,0.7978576538914758,7650,29693.724744558334,153,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-cmaes/results/sweep_gpu1_w16_seed2_random/120P_seed2/gpu_cmaes_iterations_120params.json
GPU-DE,120,120P_seed2_approx,2,True,2.5950505048772783,8150,,163,False,"APPROXIMATED seed2 (ratio_peers): seed-transfer from seed42 × geo-mean ratios of peers ['GPU-PSO', 'GPU-CMAES']",SYNTHETIC
GPU-PSO,120,120P_seed2,2,False,1.3281608857819354,5575,29901.56110906601,200,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-pso/results/sweep_gpu7_w16_seed2_random/120P_seed2/gpu_pso_iterations_120params.json
GPU-CMAES,160,160P_seed2,2,False,1.7434160366157505,4250,20717.547696828842,85,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-cmaes/results/sweep_gpu1_w16_seed2_random/160P_seed2/gpu_cmaes_iterations_160params.json
GPU-DE,160,160P_seed2_approx,2,True,1.499260375328429,4700,,94,False,"APPROXIMATED seed2 (ratio_peers): seed-transfer from seed42 × geo-mean ratios of peers ['GPU-PSO', 'GPU-CMAES']",SYNTHETIC
GPU-PSO,160,160P_seed2,2,False,3.0949436180968997,8922,43197.22008776665,284,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-pso/results/sweep_gpu7_w16_seed2_random/160P_seed2/gpu_pso_iterations_160params.json
GPU-CMAES,210,210P_seed2,2,False,1.5420893636199833,5900,32774.306965112686,118,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-cmaes/results/sweep_gpu1_w16_seed2_random/210P_seed2/gpu_cmaes_iterations_210params.json
GPU-DE,210,210P_seed2_approx,2,True,0.21398193545935876,12400,,248,False,"APPROXIMATED seed2 (ratio_peers): seed-transfer from seed42 × geo-mean ratios of peers ['GPU-PSO', 'GPU-CMAES']",SYNTHETIC
GPU-PSO,210,210P_seed2,2,False,0.8549619543974656,4710,27288.691556692123,148,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-pso/results/sweep_gpu7_w16_seed2_random/210P_seed2/gpu_pso_iterations_210params.json
