n_params,GPU-PSO,GPU-CMAES,GPU-DE
2,0.7988366626712904,0.7878708808109129,0.7917562097220884
3,0.7900103291855326,0.870169991683076,0.7713872676299357
5,0.768684077556517,0.76188185574164,1.0702819531408354
8,1.594157982203914,0.7916727091169657,1.8779037338839846
10,1.2546093918028864,0.8193883730744956,1.4952044519608307
20,0.6762826693874738,0.7478301492245416,1.1528272361895038
40,1.3393461114466358,1.0642382542012687,1.3434499276136411
80,1.023496438728143,1.5525730159011937,7.993826307081504
120,8.49547669133147,1.7597589132447178,11.259013544549214
160,5.674633261525997,1.1719148989250825,1.3053832071461249
210,13.252404464857053,1.604244830919884,19.78105712966454
