n_params,GPU-PSO,GPU-CMAES,GPU-DE
2,0.789049728382963,0.7817329361816943,0.7861953847574399
3,0.7885711870592437,0.8701699916830758,0.7668313624447551
5,0.7523415341579722,0.7570207398054118,0.7846182345840154
8,0.7446248608084912,0.6905813294446517,0.6947596232909294
10,0.8254960900733226,0.6567566071004022,1.4952044519608307
20,0.6670426359153415,0.6397718835785893,0.7909547728989708
40,0.4525669602617309,0.54955577137993,0.31482449081390773
80,0.5539215931928627,0.57429425715956,1.1614330330258285
120,0.8362312530971436,0.7960649198098078,2.820159892462154
160,1.3591618743804494,1.1719148989250825,0.9619051625421088
210,0.8513755303120896,1.5416429818808663,0.8995444344596738
