method,n_params,case,seed,is_approx_run,final_loss,total_evals,time_s,n_iterations,converged,stop_reason,source_json
GPU-CMAES,80,80P_seed2,2,False,0.4995806225132031,13250,48178.74235701561,265,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-cmaes/results/sweep_gpu1_w16_seed2_random/80P_seed2/gpu_cmaes_iterations_80params.json
GPU-DE,80,80P_seed42,42,False,1.1657257699768875,7000,39610.40945792198,140,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-de/results/sweep_gpu0_w16/80P_seed42/gpu_de_iterations_80params.json
GPU-PSO,80,80P_seed42,42,False,0.5547121383242403,4955,28096.708341121674,190,True,Stop A (normal convergence): rel_imp flat 25 iters (≥10) AND contraction_ratio=0.0807 < 0.1,GPU-pso/results/sweep_gpu7_w16/80P_seed42/gpu_pso_iterations_80params.json
GPU-CMAES,120,120P_seed2,2,False,0.7978576538914758,7650,29693.724744558334,153,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-cmaes/results/sweep_gpu1_w16_seed2_random/120P_seed2/gpu_cmaes_iterations_120params.json
GPU-DE,120,120P_seed42,42,False,2.826230595795527,8150,49293.20920395851,163,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-de/results/sweep_gpu0_w16/120P_seed42/gpu_de_iterations_120params.json
GPU-PSO,120,120P_seed42,42,False,0.8376827016971757,5290,34287.65171670914,175,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-pso/results/sweep_gpu7_w16/120P_seed42/gpu_pso_iterations_120params.json
GPU-CMAES,160,160P_seed42,42,False,1.1719148989250825,3300,17261.8997631073,66,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-cmaes/results/sweep_gpu1_w16/160P_seed42/gpu_cmaes_iterations_160params.json
GPU-DE,160,160P_seed42,42,False,0.9619051625421089,4700,29405.27200102806,94,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-de/results/sweep_gpu0_w16/160P_seed42/gpu_de_iterations_160params.json
GPU-PSO,160,160P_seed42,42,False,1.361749609645535,6237,39086.80611586571,255,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-pso/results/sweep_gpu7_w16/160P_seed42/gpu_pso_iterations_160params.json
GPU-CMAES,210,210P_seed2,2,False,1.5420893636199833,5900,32774.306965112686,118,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-cmaes/results/sweep_gpu1_w16_seed2_random/210P_seed2/gpu_cmaes_iterations_210params.json
GPU-DE,210,210P_seed42,42,False,0.8995444344596738,12400,63296.480052948,248,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-de/results/sweep_gpu0_w16/210P_seed42/gpu_de_iterations_210params.json
GPU-PSO,210,210P_seed2,2,False,0.8549619543974656,4710,27288.691556692123,148,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),GPU-pso/results/sweep_gpu7_w16_seed2_random/210P_seed2/gpu_pso_iterations_210params.json
