Params,GD,NM,PSO
2,2.8269421877081005,1.0,3.014404409429458
3,2.9275549606929125,1.0,3.789226319595083
5,1.2439425026069464,1.0,1.7668513317727543
8,1.0,1.0164491597357763,2.930529744195253
10,1.0,1.5899889981418573,4.635291847829832
20,1.0,1.6734851185042874,3.7271634023292273
40,1.0,1.8312986685561545,1.049228651553152
80,1.2862867355538001,2.641847432547303,1.0
160,5.49778668543748,3.311030163909415,1.0
210,30.121399616678964,4.833172866389524,1.0
